# /algpfs1/phaupt/neci/meanfield/bind/size_consistent/N2_enL4_C3_nd100_again_s0_fixparity/augccpvdz
# R/Bohr EFCIQMC/Hartree    EDCSD/Hartree
# doesn't seem to give size consistent results?
1.92   -109.451344(13)   nan
2.0    -109.4748447(96)     nan
2.08   -109.484260(11)    nan
2.16   -109.4829756(90)     nan
2.24   -109.473645(11)    nan
2.32   -109.4588005(69)     nan
2.4    -109.439967(16)    nan
2.48   -109.419486(13)     nan
2.98   -109.286650(21)     nan
3.48   -109.199169(24)      nan
3.98   -109.161549(51)     nan
4.48   -109.14780(14)     nan
4.98   -109.14307(27)     nan
5.48   -109.141108(84)      nan
5.98   -109.14078(13)     nan
6.48   -109.140886(83)      nan
6.98   -109.14042(25)     nan
7.48   -109.140323(77)     nan
7.98   -109.140749(98)     nan
8.48   -109.14045(12)     nan
8.98   -109.14024(13)     nan
9.48   -109.140427(86)     nan
10.0   -109.140843(73)    nan
# TODO PATH
# atom: -54.56692454(49)
# 2*atom: -109.13384908(98)
