#   RBOND        EHF           EDCSDF12
    1.92   -108.9852317   -109.4785390
    2.00   -108.9947446   -109.4954414
    2.08   -108.9909220   -109.4997187
    2.16   -108.9771026   -109.4946834
    2.24   -108.9558944   -109.4829186
    2.32   -108.9293355   -109.4664360
    2.40   -108.8990166   -109.4467976
    2.48   -108.8661760   -109.4252077
    2.98   -108.6483614   -109.2878487
    3.48   -108.4597114   -109.1886809
    3.98   -108.3137754   -109.1308894
    4.48   -108.2039675   -109.1002544
    4.98   -108.1217079   -109.0845852
    5.48   -108.0597241   -109.0763326
    5.98   -108.0124820   -109.0716548
    6.48   -107.9759613   -109.0688089
    6.98   -107.9472751   -109.0669934
    7.48   -107.9243636   -109.0658029
    7.98   -107.9057600   -109.0650067
    8.48   -107.8904094   -109.0644636
    8.98   -107.8775445   -109.0640844
    9.48   -107.8666022   -109.3267379
    10.0   nan            nan
