#    RBOND        EHF            ECASSCF        EMRCID
     1.92   -108.9852317   -109.0623260   -109.3956071
     2.00   -108.9947446   -109.0767564   -109.4133953
     2.08   -108.9909220   -109.0781873   -109.4184674
     2.16   -108.9771026   -109.0699620   -109.4141528
     2.24   -108.9558944   -109.1260207   -109.4037350
     2.32   -108.9293355   -109.1105426   -109.3879090
     2.40   -108.8990166   -109.0917026   -109.3688579
     2.48   -108.8661760   -109.0707236   -109.3477935
     2.98   -108.6483614   -108.9350955   -109.2133135
     3.48   -108.4597114   -108.8444841   -109.1215120
     3.98   -108.3137754   -108.8102322   -109.0798532
     4.48   -108.2039675   -108.8024737   -109.0659376
     4.98   -108.1217079   -108.8010149   -109.0613854
     5.48   -108.0597241   -108.8006999   -109.0595818
     5.98   -108.0124820   -108.8005914   -109.0586920
     6.48   -107.9759613   -108.8005372   -109.0581839
     6.98   -107.9472751   -108.8005046   -109.0578836
     7.48   -107.9243636   -108.8004830   -109.0577147
     7.98   -107.9057600   -108.8004698   -109.0576252
     8.48   -107.8904094   -108.8004629   -109.0575781
     8.98   -107.8775445   -108.8004595   -109.0575522
     9.48   -107.8666022   -108.8004574   -108.8824773
    10.00   -107.8568169   -108.8004556   -108.8824651
