# TODO path
# R/Bohr EFCIQMC/Hartree    EDCSD/Hartree
1.92    -109.512280(11)     nan
2.0     -109.530158(14)     nan
2.08    -109.535070(29)    nan
2.16    -109.530878(21)      nan
2.24    -109.519929(31)    nan
2.32    -109.504319(24)      nan
2.4     -109.485126(25)     nan
2.48    -109.464153(24)     nan
2.98    -109.3300625(63)     nan
# !! all calculations from this point forward require further running
3.48    -109.23658(12)      nan
3.98    -109.19582(10)     nan
4.48    -109.18043(48)    nan
4.98    -109.17523(14)      nan
5.48    -109.173752(5)      nan
5.98    -109.17330(18)     nan
6.48    -109.173349(5)     nan
6.98    -109.172799(47)    nan
7.48    -109.172241(64)     nan
7.98    -109.17244(14)     nan
8.48    -109.172624(86)     nan
8.98     -109.17265(41)     nan
9.48    -109.172697(68)    nan
10.0    -109.1721(11)    nan
# TODO PATH
# atom:
# 2*atom:
