#   RBOND        EHF           EDCSDF12
    1.92   -108.9775392   -109.4509635
    2.00   -108.9875291   -109.4682854
    2.08   -108.9840857   -109.4729559
    2.16   -108.9705659   -109.4683012
    2.24   -108.9495936   -109.4569058
    2.32   -108.9232223   -109.4407740
    2.40   -108.8930575   -109.4214567
    2.48   -108.8603509   -109.4001506
    2.98   -108.6432760   -109.2639396
    3.48   -108.4549969   -109.1658617
    3.98   -108.3091085   -109.1092787
    4.48   -108.1993485   -109.0797227
    4.98   -108.1171141   -109.0648267
    5.48   -108.0551560   -109.0570633
    5.98   -108.0079339   -109.0527036
    6.48   -107.9713998   -109.0500900
    6.98   -107.9426911   -109.0484505
    7.48   -107.9197691   -109.0473921
    7.98   -107.9011604   -109.0466964
    8.48   -107.8858031   -109.0462292
    8.98   -107.8729339   -109.0459034
    9.48   -107.8619960   -109.2973481
    10.0   nan            nan
