#    RBOND        EHF            ECASSCF        EMRCID
     1.92   -108.9775392   -109.0543971   -109.3894907
     2.00   -108.9875291   -109.0692911   -109.4074800
     2.08   -108.9840857   -109.1330832   -109.4131536
     2.16   -108.9705659   -109.1297993   -109.4090753
     2.24   -108.9495936   -109.1194940   -109.3981587
     2.32   -108.9232223   -109.1042064   -109.3824307
     2.40   -108.8930575   -109.0855258   -109.3634640
     2.48   -108.8603509   -109.0646866   -109.3424740
     2.98   -108.6432760   -108.9297679   -109.2083929
     3.48   -108.4549969   -108.8393860   -109.1170053
     3.98   -108.3091085   -108.8050778   -109.0756516
     4.48   -108.1993485   -108.7972953   -109.0618910
     4.98   -108.1171141   -108.7958283   -109.0574032
     5.48   -108.0551560   -108.7955155   -109.0556264
     5.98   -108.0079339   -108.7954009   -109.0547458
     6.48   -107.9713998   -108.7953269   -109.0542386
     6.98   -107.9426911   -108.7952803   -109.0539369
     7.48   -107.9197691   -108.7952577   -109.0537667
     7.98   -107.9011604   -108.7952473   -109.0536752
     8.48   -107.8858031   -108.7952404   -109.0536260
     8.98   -107.8729339   -108.7952345   -109.0535983
     9.48   -107.8619960   -108.7952297   -108.8783620
    10.00   -107.8522243   -108.7952260   -108.8783499
