# /algpfs1/phaupt/neci/meanfield/bind/size_consistent/casscf/ccsd4thesis
# R/Bohr   ECCSD/Hartree
1.9200000000000002    -109.37163026371613
2.0    -109.38816979820335
2.08    -109.3916695969703
2.16    -109.38549932220862
2.24    -109.37228440394412
2.3200000000000003    -109.354066163039
2.4    -109.33242712076263
2.48    -109.30858749693172
2.98    -109.1525988187724
3.48    -109.03282735779128
3.98    -108.97356733131248
4.48    -108.9889056732962
4.98    -109.02070276974743
5.48    -109.03901872011039
# 5.98    -108.46776965609656
# 6.48    -108.66746423088908
# 6.98    -108.6632719091302
# 7.48    -108.46844420329276
# 7.98    -108.81510387788578
# 8.48    -108.23803674318278
# 8.98    -108.97257417101953
# 9.48    -82.78737784387084
