# /algpfs1/phaupt/neci/meanfield/bind/size_consistent/casscf/ccsd4thesis
# R/Bohr   ECCSD/Hartree
# R/Bohr   ECCSD/Hartree
1.9200000000000002    -109.23542866838407
2.0    -109.25867289253249
2.08    -109.267436704352
2.16    -109.26540988158001
2.24    -109.25547302664107
2.3200000000000003    -109.23986731099325
2.4    -109.22033102488413
2.48    -109.1982086852
2.98    -109.04946414075249
3.48    -108.94092436174964
3.98    -108.9125614171435
4.48    -108.95230763779398
4.98    -108.9819016515186
# 5.48    -108.55842011258379
# 5.98    -108.59837406491367
# 6.48    -108.5281982145054
# 6.98    -107.90852032746817
# 7.48    -107.86388721367894
# 7.98    -108.48003225735708
# 8.48    -109.54591510677761
# 8.98    -108.68253842802531
# 9.48    -108.26004187858176
