# /algpfs1/phaupt/neci/meanfield/bind/size_consistent/N2_s0/augccpvtz/*/00b_neci/walker_3e+08
1.92   -109.2463683  # (58)
2.0    -109.2709339  # (53)
2.08   -109.281211  # (12)
2.16   -109.280866  # (13)
2.24   -109.272758  # (10)
2.32   -109.259173  # (10)
2.4    -109.241923  # (15)
2.48   -109.222208  # (12)
2.98   -109.093860  # (18)
3.48   -109.009861  # (30)
3.98   -108.976221  # (61)
4.48   -108.965836  # (67)
4.98   -108.96300  # (15)
5.48   -108.96183  # (15)
5.98   -108.96135  # (21)
6.48   -108.96079  # (16)
6.98   -108.96048  # (16)
7.48   -108.96025  # (75)
7.98   -108.96025  # (15)
8.48   -108.96012  # (13)
8.98   -108.96031  # (16)
9.48   -108.96023  # (13)
10.0   -108.96013  # (14)
