# comment
# /algpfs1/phaupt/neci/spin-gaps/standard_fciqmc/fixparity2024/N2_SA-CASSCF_nd100/augccpv?z/
 state  , avdz             , avtz            , avqz
 gs     , -109.4786442(42) , -109.532520(15)  , -109.541624(26)
 1Pig   , -109.135267(32)  , -109.190447(11) , -109.19935(15)
 1Sigu- , -109.112665(4) , -109.169466(28) , -109.176805(21) # ##! ###!
 1Delu  , -109.098524(55) , -109.155173(33)  , -109.164286(58) #
# NOTE all triplets need to be verified due to a stupid error in the 1RDM
 3Sigu+ , -109.195087(10)  , -109.247914(28)  , -109.256921(61)    ## ###!!!
 3Pig   , -109.1834365(48) , -109.237210(37) , -109.246496(32)  ###!!!
 3Delu  , -109.150604(12) , -109.206121(24) , -109.215162(25)  ## ###!!!

#   3Sigu+ , -109.195125(25) , -109.246634(9) , -109.254652(19) # ##!! ###!!!
#  3Pig   , -109.1834365(48)  , -109.237210(37) , -109.246782(41) ##
#  3Delu  , -109.150524(12)  , -109.201378(30)  , -109.206512(18) ## ###!!!
