#basis- -Nwalk-- --Ndet-- NwInit- NdInit  ----------E----------- U R
cc-pvdz    99959     5109   94999   1261   -37.8452822 0.0000004 0 0
cc-pvdz   200055     6779  193660   1909   -37.8452819 0.0000003 0 0
cc-pvdz   499818     9410  491573   3083   -37.8452825 0.0000002 0 0
cc-pvdz   999751    11587  990017   4265   -37.8452824 0.0000002 1 0


cc-pvtz    99981    37586   59533   3123   -37.8495328 0.0000035 0 0
cc-pvtz   199930    63183  133061   5965   -37.8495313 0.0000019 0 0
cc-pvtz   500068   119248  374666  13497   -37.8495336 0.0000019 0 0
cc-pvtz  1000043   187026  803810  23402   -37.8495351 0.0000025 1 0


cc-pvqz   100034    63820   33302   2669   -37.8499053 0.0000021 0 0
cc-pvqz   199958   117824   74976   4915   -37.8499058 0.0000020 0 0
cc-pvqz   500022   260725  222814  12901   -37.8499079 0.0000026 0 0
cc-pvqz  1000024   469377  504640  27258   -37.8499094 0.0000022 1 0


cc-pv5z   100021    73668   23353   2140   -37.8488876 0.0000053 0 0
cc-pv5z   199939   140923   52690   4144   -37.8488984 0.0000045 0 0
cc-pv5z   499931   328223  154806  10489   -37.8488888 0.0000039 0 0
cc-pv5z   999967   619677  350808  22087   -37.8488957 0.0000046 1 0
