#basis- -Nwalk-- --Ndet-- NwInit- NdInit  ----------E----------- U R
cc-pvdz     4993     1039    4056    173   -54.5621567 0.0000043 0 0
cc-pvdz     9984     1548    8521    222   -54.5621613 0.0000026 0 0
cc-pvdz    20001     2244   17673    280   -54.5621599 0.0000021 0 0
cc-pvdz    49998     3471   46442    647   -54.5621636 0.0000028 0 0
cc-pvdz   100015     4732   95544   1143   -54.5621610 0.0000006 0 0
cc-pvdz   199977     6390  194388   1691   -54.5621614 0.0000005 0 0
cc-pvdz   499907     9338  491785   2494   -54.5621612 0.0000008 1 0
cc-pvdz  1000083    12537  988823   3288   -54.5621616 0.0000006 0 0


cc-pvtz     4986     2646    2220    150   -54.5841369 0.0000105 0 0
cc-pvtz     9973     4827    5003    315   -54.5841843 0.0000091 0 0
cc-pvtz    20016     8833   11096    624   -54.5842420 0.0000087 0 0
cc-pvtz    49991    18241   31392   1236   -54.5842553 0.0000065 0 0
cc-pvtz   100030    30952   68363   2132   -54.5842459 0.0000022 0 0
cc-pvtz   199993    51259  147303   4041   -54.5842401 0.0000027 0 0
cc-pvtz   500002    97201  401284   9188   -54.5842414 0.0000022 1 0
cc-pvtz   999991   153314  845960  16013   -54.5842392 0.0000014 0 0


cc-pvqz     4992     3294    1612    122   -54.5893912 0.0000186 0 0
cc-pvqz     9970     6323    3453    240   -54.5894844 0.0000140 0 0
cc-pvqz    19996    12063    7569    478   -54.5895901 0.0000138 0 0
cc-pvqz    49991    28051   21245   1155   -54.5896295 0.0000101 0 0
cc-pvqz   499987   209028  286942   9957   -54.5896141 0.0000111 1 0


cc-pv5z   499952   282009  210884   9543   -54.5897714 0.0000067 1 0
