#basis- --Nwalk-- --Ndet-- -NwInit- NdInit- ----------E----------- U R
cc-pvdz      5021     1362     3581     153  -74.9117646 0.0000015 0 0
cc-pvdz      9967     2172     7531     263  -74.9117465 0.0000014 0 0
cc-pvdz     19991     3466    16362     555  -74.9117462 0.0000014 0 0
cc-pvdz     50063     5964    43924    1200  -74.9117460 0.0000011 0 0
cc-pvdz     99970     8929    91219    1852  -74.9117422 0.0000012 0 0
cc-pvdz    199961    12720   187549    2761  -74.9117442 0.0000011 0 0
cc-pvdz    500404    19567   481840    5033  -74.9117439 0.0000006 0 0
cc-pvdz    998932    26129   975416    7695  -74.9117429 0.0000008 0 0
cc-pvdz   1997993    34333  1968102   10594  -74.9117439 0.0000005 0 0
cc-pvdz   4997529    48167  4956591   15384  -74.9117446 0.0000007 1 0


cc-pvtz      4986     3255     1519     165  -74.9848819 0.0000114 0 0
cc-pvtz     10025     6282     3437     331  -74.9851722 0.0000100 0 0
cc-pvtz     19989    11584     7686     626  -74.9852999 0.0000101 0 0
cc-pvtz     49929    26753    21697    1402  -74.9852968 0.0000074 0 0
cc-pvtz     99974    48349    47769    2648  -74.9852833 0.0000074 0 0
cc-pvtz    199717    87397   104644    5380  -74.9852852 0.0000072 0 0
cc-pvtz    499962   187406   296830   14053  -74.9852805 0.0000036 0 0
cc-pvtz   1000059   324033   650934   28569  -74.9852769 0.0000037 0 0
cc-pvtz   2000532   550446  1415243   55628  -74.9852867 0.0000035 0 0
cc-pvtz   4999922  1062918  3883125  121821  -74.9852845 0.0000045 1 0


cc-pvqz      4965     3826      996     141  -75.0226311 0.0000252 0 0
cc-pvqz      9975     7383     2107     246  -75.0229161 0.0000205 0 0
cc-pvqz     20015    14444     4629     465  -75.0231745 0.0000180 0 0
cc-pvqz     50039    34780    13381    1181  -75.0235092 0.0000135 0 0
cc-pvqz    100060    67165    29498    2424  -75.0235909 0.0000155 0 0
cc-pvqz    199953   128469    64207    4530  -75.0235955 0.0000142 0 0
cc-pvqz    499964   299308   180153   10871  -75.0235964 0.0000072 0 0
cc-pvqz    999759   562537   392839   22389  -75.0235695 0.0000086 0 0
cc-pvqz   1998827  1050841   865857   48908  -75.0235822 0.0000046 0 0
cc-pvqz   5000525  2372747  2458210  134293  -75.0235812 0.0000054 1 0


cc-pv5z    499940   355357   127570    9365  -75.0368670 0.0000091 0 0
cc-pv5z    999986   685675   276164   18348  -75.0368666 0.0000083 0 0
cc-pv5z   2000300  1319042   600767   37482  -75.0368578 0.0000116 0 0
cc-pv5z   4999689  3113417  1685986  103605  -75.0368647 0.0000134 1 0


cc-pv6z    499919   384753    99736    7949  -75.0447716 0.0000177 0 0
cc-pv6z   1000221   752789   216073   15995  -75.0447507 0.0000195 0 0
cc-pv6z   1999676  1463933   466666   32223  -75.0447805 0.0000260 0 0
cc-pv6z   4999185  3515652  1295299   84413  -75.0447451 0.0000237 1 0
