#basis- -Nwalk-- --Ndet-- NwInit- NdInit ----------E----------- U R
cc-pvdz   100005     5202   94981   1121  -75.0226596 0.0000008 0 0
cc-pvdz   199955     7322  193272   1795  -75.0226604 0.0000009 0 0
cc-pvdz   499969    11057  490105   2919  -75.0226603 0.0000012 1 0
cc-pvdz   999877    14672  986691   4099  -75.0226612 0.0000011 0 0


cc-pvtz   100032    30642   68473   1880  -75.0571002 0.0000030 0 0
cc-pvtz   200022    53048  144747   3443  -75.0570931 0.0000032 0 0
cc-pvtz   499937   106199  389795   8842  -75.0570957 0.0000037 1 0
cc-pvtz   999968   174995  820195  17362  -75.0570969 0.0000034 0 0


cc-pvqz   499965   200847  294176   9336  -75.0663466 0.0000060 1 0
