# C cc-pvdz (nwalk=300k)
#  nopt  in     VMC var            Eref           E_ST-FCIQMC
100000   01   0.756(4) -37.775366952113401 -37.8295553(2)     -37.82955434(8)
100000   02   0.758(3) -37.777068997441823 -37.83003293(2)    -37.83003198(3)
100000   03   0.758(4) -37.776578558910259 -37.8303235(2)     -37.83032214(5)
100000   04   0.76(1)  -37.775141909569378 -37.82928157(5)    -37.82928044(8)
100000   05   0.755(3) -37.775495094092427 -37.8295153(1)     -37.82951397(3)
100000   06   0.756(4) -37.774903733371275 -37.8292712(2)     -37.8292699(1) 
#100000   07   0.762(4) -37.773831246582290 -37.8280501(3)     -37.82804998(5)
100000   08   0.754(4) -37.776505564385239 -37.83020530(5)    -37.8302038(1) 
100000   09   0.755(5) -37.775289079821704 -37.82903434(4)    -37.82903345(5)
100000   10   0.754(3) -37.775085829955209 -37.8291403(1)     -37.82913934(7)
