# CN cc-pvdz (nwalk=3M)
#  nopt  in     VMC var            Eref           E_ST-FCIQMC
100000   01   2.94(1)  -92.450204744114004 -92.66917(1)  -92.66964(1)
100000   02   2.93(1)  -92.445848784313341 -92.66598(2)  -92.66635(1)
100000   03   2.95(1)  -92.447309603485692 -92.66739(2)  -92.66786(1)
100000   04   2.95(2)  -92.446284061406217 -92.66799(3)  -92.66844(1)
100000   05   2.94(2)  -92.445187717376001 -92.66767(2)  -92.66810(2)
100000   06   2.93(1)  -92.441791622590401 -92.66437(2)  -92.66479(1)
100000   07   2.92(1)  -92.447703856922018 -92.66725(2)  -92.66767(1)
100000   08   2.95(2)  -92.444097302683318 -92.66466(2)  -92.66506(1)
#100000   09   2.95(2)  -92.436498184800953 -92.66374(1)  -92.66410(1)
100000   10   2.916(9) -92.448309310912023 -92.66779(2)  -92.66824(1)
