# CN cc-pvdz (nwalk=3M)
#  nopt  in     VMC var            Eref           E_ST-FCIQMC
100000   01  1.985(9) -92.459892201180736 -92.71318(6)  -92.71351(6)
100000   02  1.99(1)  -92.461248237270297 -92.71401(4)  -92.71437(4)
100000   03  2.1(2)   -92.461142690653432 -92.71371(4)  -92.71400(3)
100000   04  2.00(1)  -92.462319262871247 -92.71327(4)  -92.71359(4)
100000   05  1.981(9) -92.462871994764740 -92.71512(2)  -92.71545(9)
100000   06  1.980(7) -92.462025241523719 -92.71487(4)  -92.71518(4)
100000   07  1.99(2)  -92.460003583172764 -92.71414(5)  -92.71446(4)
100000   08  1.982(8) -92.461279800817536 -92.71406(5)  -92.71451(5)
100000   09  1.98(1)  -92.461759370769968 -92.71392(6)  -92.71434(3)
100000   10  1.98(1)  -92.463657191202003 -92.71477(7)  -92.71505(3)
