# N cc-pvdz (nwalk=300k)
#  nopt  in     VMC var            Eref           E_ST-FCIQMC
100000   01   1.84(2)  -54.511089533587182 -54.5614724(2)    -54.56146869(8)
100000   02   1.87(4)  -54.510407362855702 -54.5624933(4)    -54.5624893(2) 
100000   03   1.85(1)  -54.510805732575299 -54.5618061(3)    -54.5618018(8) 
100000   04   1.84(1)  -54.511217612003648 -54.5624553(5)    -54.5624529(2) 
100000   05   1.849(9) -54.509198343782820 -54.5615634(3)    -54.5615600(2) 
100000   06   1.85(1)  -54.513030292719328 -54.5636821(2)    -54.5636778(1) 
100000   07   1.85(1)  -54.511260753120027 -54.5627606(1)    -54.5627565(2) 
100000   08   1.85(1)  -54.511475853412250 -54.5623180(5)    -54.5623144(2) 
100000   09   1.843(8) -54.509361263631192 -54.5622269(2)    -54.5622221(6) 
100000   10   1.838(7) -54.511288958842115 -54.5629858(4)    -54.5629819(6) 
