# N cc-pvtz (nwalk=300k)
#  nopt  in     VMC var            Eref           E_ST-FCIQMC
100000   01   1.112(6) -54.518260191681811 -54.584922(1)    -54.584909(2)
100000   02   1.108(7) -54.519260303715740 -54.585224(3)    -54.585207(2)
100000   03   1.108(6) -54.517106764286751 -54.584154(2)    -54.584142(2)
100000   04   1.12(2)  -54.517156688967539 -54.584084(1)    -54.584067(5)
100000   05   1.12(1)  -54.516680428472000 -54.583565(1)    -54.583545(2)
100000   06   1.105(6) -54.518444944487868 -54.584246(2)    -54.584229(1)
100000   07   1.120(9) -54.515892274266328 -54.582768(1)    -54.582750(1)
100000   08   1.12(2)  -54.518198390739435 -54.584963(1)    -54.584952(1)
100000   09   1.102(5) -54.517620963124230 -54.583796(1)    -54.583778(3)
100000   10   1.107(7) -54.519061797789831 -54.584675(2)    -54.584660(3)
