# O2 cc-pvdz (nwalk=1M)
#  nopt  in     VMC var            Eref           E_ST-FCIQMC
100000   01   8.47(3) -149.98886116025176 -150.22261(2)     -150.22278(2)
100000   02   8.52(9) -149.98455626026083 -150.21899(2)     -150.21907(3)
100000   03   8.48(3) -149.98490250386558 -150.221808(7)    -150.22191(1)
100000   04   8.50(3) -149.98816840834542 -150.22196(3)     -150.22207(1)
100000   05   8.49(3) -149.98709657361044 -150.22101(3)     -150.22106(1)
100000   06   8.7(3)  -149.99072000661889 -150.22427(1)     -150.22428(2)
100000   07   8.54(4) -149.98315076487771 -150.21873(2)     -150.21896(3)
100000   08   8.55(6) -149.98692975744140 -150.22133(3)     -150.22140(1)
100000   09   8.51(4) -149.99085803669337 -150.22293(3)     -150.22303(2)
100000   10   8.50(3) -149.99021903899455 -150.22274(2)     -150.22279(4)
