# O2 cc-pvtz (nwalk=3M)
#  nopt  in     VMC var            Eref           E_ST-FCIQMC
100000   01   4.96(2) -150.02508215725538 -150.30695(4)    -150.30674(2) 
100000   02   4.96(2) -150.02572270933024 -150.30666(6)    -150.306503(3)
100000   03   5.1(2)  -150.02519145941031 -150.30673(5)    -150.30681(3) 
100000   04   4.93(2) -150.02628751631829 -150.30709(4)    -150.30703(4) 
100000   05   4.97(3) -150.03493284657250 -150.30833(5)    -150.30841(2) 
100000   06   4.98(3) -150.02679261110404 -150.30768(3)    -150.30752(2) 
100000   07   4.96(2) -150.02545169478401 -150.30813(4)    -150.30795(4) 
100000   08   4.96(4) -150.02849927932596 -150.30768(7)    -150.30752(5) 
100000   09   4.83(3) -150.02546265138238 -150.30827(5)    -150.30824(3) 
100000   10   4.95(2) -150.03009426677883 -150.30859(4)    -150.30838(5) 
