#Grid tests
#==========
# c atom
# -----
# Eref:
#  ngrid  cc-pvdz:14 cc-pcvdz:18  cc-pvtz:30 cc-pcvtz:43  cc-pvqz:55 cc-pcvqz:84  cc-pv5z:91
#-------------------------------------------------------------------------------------------
0   1290 -37.7728855 -37.7730564 -37.7770074 -37.7769858 -37.7781314 -37.7780282 -37.7784691
1   7760 -37.7749617 -37.7751469 -37.7786282 -37.7786009 -37.7797577 -37.7796561 -37.7800694
2  18120 -37.7753523 -37.7755387 -37.7788234 -37.7787964 -37.7799553 -37.7798537 -37.7802759
3  22650 -37.7753965 -37.7755832 -37.7788604 -37.7788335 -37.7799954 -37.7798938 -37.7803156
4  53100 -37.7754585 -37.7756455 -37.7789260 -37.7788990 -37.7800608    x           x
5  80850 -37.7754773 -37.7756642 -37.7789454 -37.7789184 -37.7800795    x           x
6 116880 -37.7754897 -37.7756766 -37.7789578 -37.7789308    x           x           x
7 162270 -37.7754971 -37.7756841 -37.7789656 -37.7789387    x           x           x
8 180300 -37.7754997 -37.7756866 -37.7789680 -37.7789410    x           x           x
9 290800 -37.7755064 -37.7756933 -37.7789746 -37.7789477    x           x           x
#-------------------------------------------------------------------------------------------
#    VMC -37.7751(4) -37.7758(4) -37.7789(4) -37.7792(4) -37.7801(5) -37.7795(5) -37.7819(5)


# E_stfciqmc (Nw = 500k):
#  ngrid       cc-pvdz:14           cc-pvtz:30          cc-pvqz:55
#---------------------------------------------------------------------
0   1290 -37.8272922 0.0000003 -37.841570 0.000001 -37.845004 0.000003
1   7760 -37.8289334 0.0000002 -37.842587 0.000001 -37.845766 0.000003
2  18120 -37.8292738 0.0000002 -37.842711 0.000002 -37.845873 0.000004
3  22650 -37.8293072 0.0000002 -37.842736 0.000001 -37.845899 0.000002
4  53100 -37.8293564 0.0000002 -37.842779 0.000001 -37.845939 0.000004
5  80850 -37.8293703 0.0000002 -37.842794 0.000001 -37.845960 0.000004
#---------------------------------------------------------------------
#  exact -37.8450              -37.8450            -37.8450


# Ecorr_stfciqmc (Nw = 500k):
#  ngrid      cc-pvdz:14          cc-pvtz:30         cc-pvqz:55
#------------------------------------------------------------------
0   1290 -0.0544067 0.0000003 -0.064563 0.000001 -0.066873 0.000003
1   7760 -0.0539717 0.0000002 -0.063959 0.000001 -0.066008 0.000003
2  18120 -0.0539216 0.0000002 -0.063888 0.000002 -0.065918 0.000004
3  22650 -0.0539108 0.0000002 -0.063875 0.000001 -0.065903 0.000002
4  53100 -0.0538979 0.0000002 -0.063853 0.000001 -0.065878 0.000004
5  80850 -0.0538929 0.0000002 -0.063849 0.000001 -0.065881 0.000004
#------------------------------------------------------------------


# n atom
# -----
# Eref:
#  ngrid  cc-pvdz:14  cc-pvtz:30  cc-pvqz:55
#-------------------------------------------
