# <E_L> and var[E_L] for 10 run instances:
#                -----------rw.var.min-----------  ----------var.Eref.min----------  ----------urw.var.min-----------  ------------MAD.min-------------  -------------E.min--------------
#sy--basis---in----------<E_L>---------var[E_L]------------<E_L>---------var[E_L]------------<E_L>---------var[E_L]------------<E_L>---------var[E_L]------------<E_L>---------var[E_L]--
C   cc-pvdz  01   -37.72818 0.00048 0.6417 0.0084   -37.79837 0.00028 0.757  0.075    -37.79823 0.00044 0.691  0.012    -37.79844 0.00043 0.6728 0.0072   -37.80507 0.00046 0.7655 0.0089
C   cc-pvdz  02   -37.77091 0.00045 0.655  0.025    -37.79910 0.00026 0.6830 0.0047   -37.79709 0.00043 0.6758 0.0064   -37.79787 0.00043 0.689  0.018    -37.80545 0.00049 0.8013 0.0081
C   cc-pvdz  03   -37.74577 0.00047 0.650  0.011    -37.79908 0.00027 0.6962 0.0081   -37.79713 0.00044 0.6814 0.0090   -37.79907 0.00043 0.6792 0.0099   -37.80560 0.00049 0.803  0.012
C   cc-pvdz  04   -37.76044 0.00046 0.6376 0.0063   -37.79918 0.00026 0.6758 0.0049   -37.79792 0.00043 0.6754 0.0073   -37.79921 0.00043 0.6810 0.0081   -37.80554 0.00046 0.7508 0.0081
C   cc-pvdz  05   -37.77432 0.00044 0.649  0.014    -37.79884 0.00026 0.6843 0.0070   -37.79833 0.00043 0.6685 0.0071   -37.79887 0.00043 0.6730 0.0077   -37.80480 0.00047 0.7689 0.0064
C   cc-pvdz  06   -37.78330 0.00044 0.649  0.011    -37.79862 0.00026 0.6803 0.0044   -37.79771 0.00043 0.6830 0.0077   -37.79812 0.00043 0.6727 0.0077   -37.80566 0.00048 0.7861 0.0086
C   cc-pvdz  07   -37.77327 0.00045 0.6485 0.0087   -37.79834 0.00026 0.6830 0.0061   -37.79856 0.00044 0.700  0.030    -37.79870 0.00043 0.6768 0.0086   -37.80537 0.00049 0.7897 0.0067
C   cc-pvdz  08   -37.75371 0.00046 0.6355 0.0068   -37.79909 0.00026 0.6744 0.0043   -37.79870 0.00044 0.6834 0.0094   -37.79867 0.00043 0.6752 0.0072   -37.80575 0.00047 0.7721 0.0073
C   cc-pvdz  09   -37.72449 0.00048 0.6456 0.0099   -37.79774 0.00026 0.6925 0.0066   -37.79777 0.00043 0.6781 0.0065   -37.79877 0.00043 0.6762 0.0074   -37.80528 0.00046 0.7591 0.0082
C   cc-pvdz  10   -37.77108 0.00045 0.6397 0.0079   -37.79858 0.00026 0.6841 0.0047   -37.79647 0.00044 0.681  0.011    -37.79981 0.00043 0.6781 0.0074   -37.80512 0.00049 0.811  0.021
                                                                                                                                                                    
                                                                                                                                                                    
N   cc-pvdz  01   -54.42332 0.00076 1.87   0.52     -54.53765 0.00041 1.674  0.012    -54.53756 0.00063 1.679  0.019    -54.53839 0.00063 1.699  0.026    -54.54471 0.00078 2.012  0.025 
N   cc-pvdz  02   -54.35224 0.00073 1.580  0.019    -54.53729 0.00041 1.698  0.016    -54.53669 0.00064 1.670  0.017    -54.53580 0.00063 1.668  0.019    -54.54476 0.00073 1.891  0.017 
N   cc-pvdz  03   -54.46125 0.00067 1.549  0.018    -54.53620 0.00041 1.692  0.012    -54.53632 0.00064 1.668  0.018    -54.53652 0.00063 1.664  0.021    -54.54354 0.00074 1.937  0.021 
N   cc-pvdz  04   -54.25340 0.00079 1.610  0.019    -54.53705 0.00041 1.659  0.012    -54.53701 0.00064 1.675  0.021    -54.53749 0.00063 1.668  0.017    -54.54469 0.00073 1.917  0.030 
N   cc-pvdz  05   -54.47590 0.00066 1.570  0.025    -54.53778 0.00041 1.701  0.020    -54.53785 0.00064 1.693  0.043    -54.53769 0.00063 1.654  0.017    -54.54541 0.00073 1.880  0.016 
N   cc-pvdz  06   -54.44893 0.00067 1.537  0.014    -54.53774 0.00041 1.682  0.012    -54.53631 0.00064 1.681  0.049    -54.53718 0.00063 1.657  0.017    -54.54576 0.00073 1.901  0.025 
N   cc-pvdz  07   -54.47950 0.00066 1.556  0.018    -54.53706 0.00041 1.701  0.014    -54.53703 0.00064 1.685  0.020    -54.53661 0.00063 1.667  0.021    -54.54123 0.00067 1.800  0.022 
N   cc-pvdz  08   -54.45973 0.00067 1.562  0.016    -54.53694 0.00041 1.675  0.014    -54.53638 0.00064 1.673  0.020    -54.53614 0.00063 1.679  0.026    -54.54386 0.00066 1.780  0.022 
N   cc-pvdz  09   -54.48566 0.00066 1.585  0.049    -54.53814 0.00042 1.707  0.019    -54.53814 0.00064 1.690  0.022    -54.53804 0.00062 1.671  0.028    -54.54344 0.00078 1.992  0.029 
N   cc-pvdz  10   -54.49675 0.00065 1.603  0.048    -54.53678 0.00041 1.685  0.022    -54.53569 0.00063 1.672  0.018    -54.53582 0.00063 1.654  0.018    -54.54379 0.00073 1.896  0.019 
                                                                                                                                                                    
                                                                                                                                                                    
O   cc-pvdz  01   -74.8203  0.0010  3.406  0.048    -75.00016 0.00062 3.82   0.13     -74.99805 0.00094 3.710  0.048    -74.99961 0.00092 3.681  0.049    -75.0068  0.0011  4.064  0.048 
O   cc-pvdz  02   -74.85389 0.00099 3.399  0.044    -75.00136 0.00062 3.747  0.033    -75.00158 0.00093 3.682  0.039    -74.99971 0.00092 3.679  0.042    -75.0096  0.0011  4.111  0.063 
O   cc-pvdz  03   -74.92883 0.00095 3.473  0.036    -75.00022 0.00062 3.732  0.031    -75.00072 0.00094 3.762  0.066    -74.99949 0.00092 3.655  0.035    -75.0091  0.0011  4.074  0.039 
O   cc-pvdz  04   -74.87553 0.00098 3.377  0.031    -74.99973 0.00061 3.727  0.052    -75.00074 0.00094 3.747  0.049    -74.99892 0.00092 3.692  0.052    -75.0091  0.0011  4.129  0.068 
O   cc-pvdz  05   -73.3017  0.0013  3.782  0.031    -74.99875 0.00061 3.712  0.026    -74.99989 0.00093 3.710  0.046    -74.99754 0.00092 3.628  0.037    -75.0094  0.0011  4.30   0.11
O   cc-pvdz  06   -74.89096 0.00098 3.426  0.088    -75.00024 0.00061 3.642  0.024    -75.00080 0.00094 3.736  0.054    -74.99922 0.00092 3.676  0.040    -75.00582 0.00094 3.806  0.041 
O   cc-pvdz  07   -73.5068  0.0015  4.30   0.26     -74.99984 0.00061 3.680  0.045    -74.99893 0.00093 3.645  0.035    -74.99896 0.00095 3.80   0.13     -75.0107  0.0011  4.244  0.048 
O   cc-pvdz  08   -74.8224  0.0010  3.412  0.084    -75.00016 0.00061 3.686  0.028    -74.99872 0.00093 3.700  0.052    -74.99999 0.00092 3.691  0.042    -75.0098  0.0011  4.12   0.10
O   cc-pvdz  09   -74.89904 0.00098 3.56   0.13     -75.00025 0.00061 3.745  0.029    -74.99819 0.00093 3.663  0.044    -75.00212 0.00093 3.727  0.064    -75.0088  0.0011  4.123  0.044 
O   cc-pvdz  10   -74.8718  0.0010  3.496  0.055    -75.00029 0.00062 3.750  0.030    -75.00091 0.00092 3.667  0.036    -74.99968 0.00092 3.645  0.041    -75.0087  0.0011  4.077  0.045 


C2  cc-pvdz  01   -75.66963 0.00075 1.591  0.016    -75.69985 0.00041 1.6364 0.0072   -75.69279 0.00075 1.645  0.015    -75.69915 0.00073 1.620  0.014    -75.75272 0.00088 2.180  0.012
C2  cc-pvdz  02   -75.67339 0.00074 1.579  0.016    -75.69991 0.00041 1.6195 0.0073   -75.69435 0.00075 1.636  0.014    -75.69785 0.00074 1.627  0.012    -75.75470 0.00091 2.262  0.014
C2  cc-pvdz  03   -75.65009 0.00076 1.568  0.011    -75.69644 0.00041 1.644  0.010    -75.69242 0.00075 1.650  0.021    -75.69823 0.00074 1.621  0.013    -75.75504 0.00091 2.276  0.016
C2  cc-pvdz  04   -75.66569 0.00075 1.595  0.016    -75.69964 0.00041 1.6288 0.0065   -75.69499 0.00075 1.659  0.040    -75.69639 0.00074 1.639  0.020    -75.75547 0.00095 2.376  0.026
C2  cc-pvdz  05   -75.63847 0.00077 1.590  0.022    -75.69814 0.00041 1.6316 0.0069   -75.69131 0.00075 1.635  0.016    -75.69775 0.00074 1.618  0.014    -75.75334 0.00094 2.308  0.015
C2  cc-pvdz  06   -75.66379 0.00076 1.603  0.025    -75.69854 0.00041 1.6400 0.0083   -75.69538 0.00075 1.647  0.020    -75.69617 0.00074 1.612  0.013    -75.75410 0.00090 2.255  0.022
C2  cc-pvdz  07   -75.64245 0.00076 1.592  0.015    -75.69925 0.00041 1.6272 0.0069   -75.69501 0.00075 1.651  0.019    -75.69853 0.00074 1.625  0.013    -75.75392 0.00094 2.355  0.014
C2  cc-pvdz  08   -75.68173 0.00073 1.577  0.011    -75.69857 0.00041 1.662  0.019    -75.68503 0.00075 1.643  0.013    -75.69934 0.00074 1.633  0.017    -75.75511 0.00096 2.389  0.028
C2  cc-pvdz  09   -75.66874 0.00075 1.585  0.021    -75.69790 0.00041 1.6404 0.0079   -75.69330 0.00074 1.621  0.012    -75.69860 0.00074 1.630  0.012    -75.75354 0.00087 2.178  0.013
C2  cc-pvdz  10   -75.67308 0.00075 1.591  0.015    -75.69822 0.00041 1.6425 0.0084   -75.69427 0.00074 1.647  0.015    -75.69955 0.00074 1.627  0.015    -75.75394 0.00088 2.168  0.016
                                                                                                                                                                  
                                                                                                                                                                  
CN  cc-pvdz  01   -92.46345 0.00089 2.545  0.042    -92.54231 0.00052 2.646  0.022    -92.53518 0.00086 2.648  0.024    -92.53798 0.00085 2.608  0.024    -92.5851  0.0010  3.204  0.031
CN  cc-pvdz  02   -92.45060 0.00089 2.509  0.018    -92.54007 0.00052 2.669  0.019    -92.53789 0.00086 2.670  0.033    -92.53727 0.00084 2.588  0.022    -92.5854  0.0010  3.266  0.094
CN  cc-pvdz  03   -92.46298 0.00089 2.516  0.026    -92.53834 0.00053 2.73   0.11     -92.53914 0.00085 2.641  0.025    -92.53750 0.00085 2.615  0.030    -92.5851  0.0011  3.306  0.022
