#           ----------rw.var.min---------- ---------var.Eref.min--------- ---------urw.var.min---------- -----------MAD.min------------ ------------E.min-------------
#sy -basis- -------<E_L>---- ----varE----- -------<E_L>---- ----varE----- -------<E_L>---- ----varE----- -------<E_L>---- ----varE----- -------<E_L>---- ----varE-----
C   cc-pvdz  -37.7585 0.0202 0.6452 0.0063  -37.7987 0.0005 0.6911 0.0241  -37.7978 0.0007 0.6818 0.0087  -37.7988 0.0006 0.6774 0.0049  -37.8054 0.0003 0.7807 0.0204
N   cc-pvdz  -54.4337 0.0756 1.6022 0.0969  -54.5373 0.0006 1.6874 0.0151  -54.5369 0.0008 1.6786 0.0086  -54.5370 0.0009 1.6681 0.0134  -54.5441 0.0013 1.9006 0.0727
O   cc-pvdz  -74.5771 0.6209 3.5631 0.2851  -75.0001 0.0006 3.7241 0.0485  -74.9999 0.0013 3.7022 0.0385  -74.9995 0.0011 3.6874 0.0482  -75.0088 0.0014 4.1048 0.1297
C2  cc-pvdz  -75.6627 0.0143 1.5871 0.0101  -75.6986 0.0011 1.6372 0.0117  -75.6929 0.0031 1.6434 0.0105  -75.6982 0.0012 1.6252 0.0078  -75.7542 0.0009 2.2747 0.0824
CN  cc-pvdz  -92.4817 0.0225 2.5401 0.0311  -92.5395 0.0014 2.6554 0.0323  -92.5360 0.0029 2.6449 0.0188  -92.5383 0.0010 2.6133 0.0211  -92.5846 0.0014 3.3075 0.0861
N2  cc-pvdz -109.2783 0.0292 3.6649 0.0206 -109.3458 0.0021 3.8057 0.0257 -109.3416 0.0014 3.8410 0.0833 -109.3454 0.0012 3.8003 0.0421 -109.3963 0.0014 4.8060 0.1226
O2  cc-pvdz -149.9553 0.0441 7.4474 0.2505 -150.1167 0.0017 7.7858 0.0395 -150.1118 0.0025 7.7907 0.0873 -150.1137 0.0017 7.7866 0.0578 -150.1602 0.0021 9.0139 0.2956


C   cc-pvtz  -37.7835 0.0073 0.4367 0.0044  -37.8005 0.0031 0.4555 0.0084  -37.8009 0.0008 0.4519 0.0054  -37.8025 0.0004 0.4533 0.0035  -37.8092 0.0003 0.5333 0.0142
N   cc-pvtz  -54.4987 0.0576 0.9810 0.0193  -54.5444 0.0023 1.0310 0.0257  -54.5438 0.0011 1.0100 0.0124  -54.5449 0.0005 1.0005 0.0139  -54.5519 0.0006 1.1420 0.0144
O   cc-pvtz  -74.9376 0.0490 2.0335 0.0324  -75.0142 0.0005 2.1342 0.0727  -75.0134 0.0006 2.1081 0.0164  -75.0144 0.0007 2.1088 0.0541  -75.0212 0.0008 2.3201 0.0461
C2  cc-pvtz  -75.6935 0.0078 1.1292 0.0085  -75.7073 0.0009 1.1451 0.0065  -75.7033 0.0012 1.1516 0.0066  -75.7061 0.0011 1.1521 0.0232  -75.7625 0.0010 1.6034 0.0411
CN  cc-pvtz  -92.5394 0.0061 1.7282 0.0111  -92.5566 0.0016 1.7673 0.0115  -92.5534 0.0008 1.7738 0.0244  -92.5557 0.0009 1.7652 0.0200  -92.6001 0.0008 2.2467 0.0661
N2  cc-pvtz -109.3505 0.0055 2.3706 0.0208 -109.3683 0.0015 2.3944 0.0184 -109.3653 0.0007 2.4056 0.0211 -109.3666 0.0008 2.3847 0.0160 -109.4160 0.0013 3.0545 0.0685
O2  cc-pvtz -150.1044 0.0331 4.4444 0.0755 -150.1565 0.0020 4.5446 0.0558 -150.1497 0.0034 4.5731 0.1895 -150.1541 0.0007 4.5209 0.0343 -150.1947 0.0009 5.2824 0.0838
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------
