# /algpfs1/phaupt/neci/meanfield/bind/size_consistent/N2_atom_enL1_C3_nd1_again_s0/augccpvtz
# R/Bohr EFCIQMC/Hartree
1.92     -109.498903(19)
2.0      -109.515776(32)
2.08     -109.520134(16)
2.16     -109.515191(18)
2.24     -109.503702(31)
2.32     -109.487531(20)
2.4      -109.468332(17)
2.48     -109.4474620(57)
2.98     -109.315079(99)
3.48     -109.228419(51)
3.98     -109.185420(36)
4.48     -109.170305(20)
4.98     -109.165103(72) # !
5.48     -109.1630764(68)  # !
5.98     -109.162014(37)
6.48     -109.161401(87)
6.98     -109.161283(18)
7.48     -109.161184(22)
7.98     -109.161028(17)
8.48     -109.1609900(56)
8.98     -109.160974(40)
9.48     -109.161036(14)
10.0     -109.160978(35)
# /algpfs1/phaupt/neci/meanfield/bind/size_consistent/N_enL1_C3_nd1_s3_fixparity/augccpvtz/04_fciqmc
# atom: -54.5805988(28)
# 2*atom: -109.1611976(56)
