# /algpfs1/phaupt/neci/meanfield/bind/size_consistent/N2_atom_optee_fromatom_enL1_C3_nd1_sweep_s0
# R/Bohr EFCIQMC/Hartree
# (almost) all calculations need to be verified
1.92   -109.501530(36)
2.08   -109.523175(57)
2.24   -109.506635(13)
2.4    -109.470813(18) #
2.98   -109.314694(32) #
3.98   -109.183837(83)
4.98   -109.165511(34) #
5.98   -109.162963(72) #
6.98   -109.162243(84) #
7.98   -109.161984(17) #
8.98   -109.161712(41) #
10.0   -109.161902(15) #
# /algpfs1/phaupt/neci/meanfield/bind/size_consistent/N_enL1_eeL4.5_C3_nd1_s3_fixparity/augccpvtz/04_fciqmc
# atom: -54.5806914(43)
# 2*atom: -109.1613828(86)
