# /algpfs1/phaupt/neci/meanfield/bind/size_consistent/N2_atom_optee_fromatom_enL1_C3_nd100_sweep_s0
# !!! running all with trial wave functions
# R/Bohr EFCIQMC/Hartree
# !!! none of these are done !!!
1.92   -109.501133(28)
2.08   -109.523111(30)
2.24   -109.506423(16)
2.4    -109.470539(35)
2.98   -109.31407(16)
3.98   -109.183282(48)
4.98   -109.164860(89)
5.98   -109.162464(28)
6.98   -109.162274(46)
7.98   -109.161940(25)
8.98   -109.162024(64)
10.0   -109.162029(60)
# /algpfs1/phaupt/neci/meanfield/bind/size_consistent/N_enL1_eeL4.5_C3_nd1_s3_fixparity/augccpvtz/04_fciqmc
# atom: -54.5806914(43)
# 2*atom: -109.1613828(86)
