# /algpfs1/phaupt/neci/meanfield/bind/size_consistent/N_universal_casino_nocusp_eeLgaussian*_s3/augccpvtz/0.0
# nonTC Eref -54.397609522651592
# nonTC EFCIQMC -54.527953(13)
# HEAT -54.5893
# L   Eref                    EMP2             EFCIQMC(300k)
0.1 -54.404779577744037  -54.515506915658470  -54.534850(62)
0.2 -54.426803191700415  -54.534677192008630  -54.553888(20)
0.3 -54.460967939887823  -54.562450450471772  -54.581203(11)
0.4 -54.519942776958501  -54.602863371988121  -54.618870(17)
0.5  -54.609157841220721  -54.650321936719770  -54.657141(18)
0.6  -54.635658591740103  -54.614369148429795  nan
0.7   -54.859049814948520  -54.766358705611069  nan
0.8    -55.002495682535759  -54.846095292660408  nan
0.9    -54.863152112054763   -55.145936637777055  nan
1.0   -54.397609522651756  -54.508589512706045  nan
