# TODO path
# all calculations are at equilibrium
# energies are with xTC approx
# missing EFCIQMC calcs seem to have positive correlation energies
# nonTC Eref -108.98408566080087
# nonTC EFCIQMC -109.412216
# HEAT -109.5425
# L   Eref                    EMP2             EFCIQMC(30M)
0.1 -108.99861614795907    -109.40783504211670   -109.427088(78)
0.2 -109.04449296274200   -109.44568787659330    -109.464721(64)
0.3 -109.10818826668361  -109.49420577675021    -109.522887(63)
0.4  -109.24682626453418  -109.58069526573067   -109.599018(76)
0.5  -109.44642628385020   -109.66537033198431  -109.671638(90)
0.6  -109.71312756667986   -109.75834450424219  -109.73445(16)
0.7 -110.04614787503630  -109.88583191629652    -109.80072(20)
0.8 -110.46760956183360   -110.08998584979851   nan
0.9 -111.01522129098873   -110.41127138103074   nan
1.0 -111.71963970068386    -110.87593545073995   nan
