# /algpfs1/phaupt/neci/meanfield/bind/size_consistent/N_universal_casino_eeLgaussian*_s3/augccpvtz/0.0
# nonTC Eref -54.397609522651592
# nonTC EFCIQMC -54.527953(13)
# HEAT -54.5893
# L   Eref                    EMP2             EFCIQMC(300k)
0.1  -54.405818169034788  -54.516489269477987  -54.535798(32)
0.2  -54.427890189867441  -54.535556246797995  -54.554743(23)
0.3  -54.461726053404462  -54.562941030111084  -54.581648(33)
0.4  -54.520361131402723  -54.603051947302340  -54.619006(26)
0.5  -54.609333917467509  -54.650346821470734  -54.657157(32)
0.6  -54.724850779290705  -54.702859480432629  nan
0.7  -54.858975485864768  -54.766324113256644  nan
0.8  -55.002353695230802  -54.846098347392910  nan
0.9  -55.145738616247954  -54.940113739792373  nan
1.0  -55.281151717657409  -55.038679578435016  nan
