# /algpfs1/phaupt/neci/meanfield/bind/size_consistent/N2_universal_casino_eeLgaussian*_s0/augccpvtz/2.08/
# all calculations are at equilibrium
# cutoff form is e^(-r^2/L^2)
# energies are with xTC approx
# missing EFCIQMC calcs seem to have positive correlation energies
# nonTC Eref -108.98408566080087
# nonTC EFCIQMC -109.412216
# HEAT -109.5425
# L   Eref                    EMP2             EFCIQMC(30M)
0.1  -109.00068973893595  -109.40966108782044  -109.427088(78)
0.2  -109.04400672098041  -109.44449065135480  -109.464721(64)
0.3  -109.11941078196438  -109.50416824960975  -109.522887(63)
0.4  -109.24765167054011  -109.58126222699744  -109.599619(74)
0.5  -109.44675660656048  -109.66593450024322  -109.671638(90)
0.6  -109.71313937403362  -109.75902313099957  -109.73445(16)
0.7  -110.04595109369200  -109.88665982749784  nan
0.8  -110.46725396937882  -110.09096198045488  nan
0.9  -111.01472862510099  -110.41238342010335  nan
1.0  -111.71903233659086  -110.87716794698423  nan
